STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN,P00025,P00020,P00080,P62971,P00300,P00058,P00059,P00400,P00095,P00010,P72000,P72008,P72004,P84143,P84148,P84147,P84146,P70300,P00900,P00905,P00915,P00925,P00935,P00930,P39086,P00453,P71870,P00405,P00452,P00940,P00950,P71875,P71834,P00955,P00945,P00623,P71846,P00608,P00597,P00631,P71851,P00618,P71856,P00613,P00607,P00671,P00660,P00665,P00602,P00600,P50468,P99596,P31684,P31691,P84385,P31616,P31625,P61215,P78943,P31692,P50569,P99595,P31501,P61213,P84138,P01106,P01105,P01005,P01007,P01010,P01012,P01025,P01027,P01030,P01034,P01035,P01037,P01040,P01042,P01046,P01045,P01049,P01051,P01130,P01132,P01056,P01055,P71890,P71900,P01060,P01062,P01065,P01067,P01075,P01077,P01080,P01082,P01057,P01059,P01085,P01090,P01092,P01095,P01097,P82043,P01000,P01002,P01020,P01145,P01147,P32103,P34541,P34571,P50470,P39732,P38746,P82660,P62850,P04040,P04038,P50355,P49308,P50295,P61030,P62847,P61029,P49260,P49315,P61031,P62848,P50009,P46342,P49313,P49314,P49312,P34253,P39632,P65065,P82686,P50299,P82673,P50300,P61693,P38711,P04029,P49311,P04028,P49310,P82680,P49309,P82674,P61188,P50306,P04039,P49306,P38933,P82687,P49305,P04041,P04031,P49304,P82682,P63778,P63777,P63779,P63780,P62169,P62170,P39572,P38442,P49302,P39381,P62482,P61951,P61588,P49301,P04033,P82677,P49300,P82668,P82663,P82672,P49297,P62167,P62168,P62166,P62483,P61952,P62481,P61694,P38811,P04095,P63784,P63783,P64045,P63785,P50356,P50407,P61695,P39341,P38478,P82666,P39532,P38482,P38487,P50359,P38501,P49296,P82667,P61044,P61043,P39415,P82630,P61697,P82671,P61692,P82684,P49294,P50364,P49293,P49292,P38866,P34653,P39542,P82669,P82683,P82664,P49291,P04037,P62767,P62766,P04024,P82679,P82685,P51195,P49236,P50471,P38538,P82676,P62849,P38548,P04035,P50337,P82670,P82665,P04032,P82675,P82681,P82678,P49235,P82661,P34506,P77652,P34496,P34501,P34536,P34566,P34030,P32101,P67440,P50305,P34301,P77093,P32105,P34668,P34423,P81576,P81577,P34371,P68831,P85574,P78032,P50005,P85795,P00680,P77135,P32730,P77128,P50004,P34475,P32102,P34010,P34546,P32104,P39180,P34488,P32106,P90867,P90851,P39175,P01519,P63018,P03519,P85817,P76002,P82303,P75985,P07000,P22703,P28011
430330078023901,GS 757,20100914,0900,WG,9,01002114,2630021,041300030603,351CMLS,24570326J,43.05838889,-78.04394444,037,201009140900 EST,201009140900,Paleozoic,Camillus Shale,Upper,Silurian,NAD83,720,GS 757,NGVD29,Genesee,Domestic,Bedrock,,,2,0.2,0.5,,,7.1,1650,13.6,720,75.00,,,,,,1370,976,716,316,45.5,2.64,12.8,,,,41.5,,28.9,0.31,,,12.1,727,E0.10,0.049,0.04,26.11,<0.04,<0.177,<0.040,<0.007,<0.002,E0.06,0.011,0.033,,<0.14,,,,,<1,,,,<1,,36,,,,<1,,,<5.6,,9.22,,<0.04,,<0.040,,<0.42,,0.10,,<1.4,261,302,,0.18,,20.8,13.7,16.1,,<0.010,,4.81,,0.56,,0.017,,19800,,<0.12,,,<2.0,,E0.18,0.7370,,4.7,117,,0.136,<0.2,<0.1,<0.1,,,,<0.0060,,<0.014,,,,,,,,<0.010,,,,,<0.008,,,,<0.0040,<0.007,,<0.120,,<0.014,,,,,,<0.0040,,<0.060,,<0.060,,,,,<0.0100,<0.014,,<0.022,,,<0.0076,,,,,<0.029,<0.012,<0.0050,,,<0.009,,,,,,<0.040,,<0.0020,<0.006,<0.016,,<0.013,<0.024,<0.018,,,,,,<0.0044,,,,,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,,,<0.014,<0.012,,<0.0026,,<0.008,,,,,,<0.002,<0.020,<0.0160,<0.012,<0.020,,<0.012,,,<0.006,<0.010,<0.020,,,,,<0.0036,,,<0.006,,<0.028,<0.024,,<0.018,<0.016,<0.0060,,<0.018,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,<0.0010,<0.2,<0.2,<0.2,1.0,<0.1,,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,R1.1,,,3.1,,175,,,,0.204
430330078023901,GS 757,20100914,0901,WG,9,01002486,,041300030603,351CMLS,,43.05838889,-78.04394444,037,201009140901 EST,201009140901,Paleozoic,Camillus Shale,Upper,Silurian,NAD83,720,GS 757,NGVD29,Genesee,Domestic,Bedrock,,,,0.3,,,,,,,720,75.00,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425600077696001,LV 329,20051215,0800,WG,9,00600604,3530030,041300020904,112SDGV,24570326B,42.54513889,-77.62669444,051,200512150800 EST,200512150800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1355,LV 329,NAVD88,Genesee,Production,Sand and Gravel,,,5,,<0.2,,,7.9,532,9.4,1355,106,,,,,,313,268,97,75.9,18.9,1.18,9.85,,,,4.2,,31.3,0.12,,,8.39,53.0,<0.10,<0.052,<0.04,,<0.06,<0.266,<0.060,<0.026,<0.008,<0.10,<0.02,<0.055,,<0.16,,,,<1,,,<5,,,2,,,,<1,,,,E1.3,,146,,<0.06,,<0.040,,0.21,,0.197,,4.8,320,322,,0.12,,7.88,44.1,44.0,,<0.010,,1.38,,1.32,,<0.160,,99.3,,<0.18,,,E2,,<0.20,,,1.3,14,,0.110,<0.2,<0.1,<0.1,,,,<0.0060,<0.02,<0.006,,,,,<0.02,<0.02,<0.02,<0.02,,<0.02,<0.02,<0.02,<0.02,,,,<0.0050,<0.007,,<0.050,,<0.010,,,,,,<0.0040,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.021,,<0.0040,<0.009,<0.005,,<0.013,<0.024,<0.016,<0.02,<0.02,<0.02,,,<0.0030,<0.02,<0.02,<0.02,<0.02,,,,<0.0040,,<0.035,<0.027,,,,,,<0.015,<0.02,<0.02,<0.02,<0.006,,<0.0030,,<0.007,,,,,,<0.003,<0.010,<0.0040,<0.022,<0.011,,<0.010,<0.02,<0.05,<0.02,<0.011,<0.023,,,,,<0.0040,<0.02,,<0.005,,<0.016,<0.034,,<0.017,<0.010,<0.0060,,<0.009,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,20,300,,,,0.758
425600077696001,LV 329,20051215,0810,WG,9,00600605,3530118,041300020904,112SDGV,24570326B,42.54513889,-77.62669444,051,200512150810 EST,200512150810,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1355,LV 329,NAVD88,Genesee,Production,Sand and Gravel,,,,,,,,,,,1355,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.016,<0.04,<0.02,,,<0.03,<0.08,<0.032,<0.008,<0.02,,,,,<0.028,,,,,<0.02,<0.022,<0.04,,<0.008,,,<0.02,,<0.022,<0.02,<0.01,<0.02,<0.03,,<0.02,,<0.016,,<0.02,<0.032,<0.04,<0.04,,,<0.02,,<0.01,<0.03,,,,,,,,,<0.04,<0.03,,,,,<0.04,<0.01,,<0.02,,,,<0.02,,,,,,,<0.04,<0.02,,,,,,<0.04,<0.04,<0.020,,<0.01,,,<0.03,<0.01,<0.01,<0.010,<0.020,,,,,,<0.03,,<0.04,,<0.01,<0.04,<0.02,<0.01,<0.03,,,,,,<0.03,,,,,,,,<0.030,<0.010,<0.008,,,<0.02,,<0.038,<0.026,,<0.016,,,,<0.03,,,,,,,,,,,E0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425600077696001,LV 329,20060119,1300,WG,9,00600752,0200001,041300020904,112SDGV,24570326B,42.54513889,-77.62669444,051,200601191300 EST,200601191300,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1355,LV 329,NAVD88,Genesee,Production,Sand and Gravel,,,,,,,,,,,1355,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,300,,,,
424100077493001,LV 331,20060214,0900,WG,9,00600975,0460037,041300020910,112SDGV,24570326B,42.69083333,-77.82500000,051,200602140900 EST,200602140900,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,574,LV 331,NAVD88,Genesee,Production,Sand and Gravel,,,<1,,1.6,,,7.4,775,12.7,574,40.00,,,,,,453,292,84,82.0,21.2,3.29,54.8,,,,16,,87.4,0.15,,,6.78,57.3,0.10,<0.052,<0.04,,1.08,4.76,1.08,<0.026,<0.008,<0.10,<0.02,<0.055,,1.2,,,,<1,,,<5,,,6,,,,<1,,,,E1.1,,81.9,,<0.06,,E0.023,,0.14,,0.274,,1.1,10.6,9.8,,<0.06,,4.92,9.31,9.3,,<0.010,,0.70,,1.69,,<0.160,,155,,<0.18,,,<2,,E0.10,,,0.27,34,,0.310,<0.2,<0.1,<0.1,,,,<0.0060,<0.02,E0.002,,,,,<0.02,<0.02,<0.02,<0.02,,<0.02,<0.02,0.03,<0.02,,,,<0.0050,<0.007,,<0.050,,<0.010,,,,,,<0.0040,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.021,,<0.0040,<0.009,<0.005,,<0.013,<0.024,<0.016,<0.02,<0.02,<0.02,,,<0.0030,<0.02,<0.02,<0.02,<0.02,,,,<0.0040,,<0.035,<0.027,,,,,,<0.015,<0.02,0.21,<0.02,<0.006,,<0.0030,,<0.007,,,,,,<0.003,<0.010,<0.0040,<0.022,<0.011,,<0.010,<0.02,<0.05,<0.02,<0.011,<0.023,,,,,<0.0040,<0.02,,<0.005,,<0.016,<0.034,,<0.017,<0.010,<0.0060,,<0.009,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,23,450,,,,0.492
424100077493001,LV 331,20060214,0910,WG,9,00600976,0470031,041300020910,112SDGV,24570326B,42.69083333,-77.82500000,051,200602140910 EST,200602140910,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,574,LV 331,NAVD88,Genesee,Production,Sand and Gravel,,,,,,,,,,,574,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.016,<0.04,<0.02,,,<0.03,<0.08,,<0.008,,,,,,<0.028,,,,,<0.02,<0.022,<0.04,,<0.008,,,<0.02,,<0.022,<0.02,<0.01,<0.02,<0.03,,<0.02,,<0.016,,<0.02,<0.032,<0.04,,,,<0.02,,<0.01,<0.03,,,,,,,,,<0.04,<0.03,,,,,<0.04,<0.01,,<0.02,,,,<0.02,,,,,,,<0.04,<0.02,,,,,,<0.04,<0.04,<0.020,,<0.01,,,<0.03,<0.01,<0.01,<0.010,<0.020,,,,,,<0.07,,<0.04,,<0.01,<0.04,<0.02,<0.01,<0.03,,,,,,<0.03,,,,,,,,<0.030,<0.010,<0.008,,,<0.02,,<0.091,<0.026,,<0.016,,,,<0.03,,,,,,,,,,,E0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425505077531001,LV 541,20101005,0630,WG,9,01100074,2790015,041300030504,112SDGV,24570326J,42.91841667,-77.88472222,051,201010050630 EST,201010050630,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,758,LV 541,NGVD29,Genesee,Production,Sand and Gravel,,,<1,0.1,0.5,,,7.3,979,12.3,758,69.00,,,,,,539,440,82,120,34.4,1.51,32.0,,,,53.8,,94.7,0.20,,,21.1,3.68,0.21,0.207,0.16,13.79,<0.02,<0.089,<0.020,<0.003,<0.001,0.05,0.017,0.052,,<0.23,,,,,<1,,,,<1,,133,,,,<1,,,33.6,,1480,,<0.02,,<0.050,,<0.21,,0.04,,0.95,2400,3100,,0.51,,23.5,36.3,43.1,,<0.005,,0.08,,1.0,,<0.015,,859,,<0.06,,,28.8,,<0.18,0.5230,,1.6,62,,<0.050,<0.2,<0.1,<0.1,,,,<0.0060,,<0.006,,,,,,,,<0.010,,,,,<0.008,,,,<0.0040,<0.008,,<0.120,,<0.014,,,,,,<0.0040,,<0.060,,<0.060,,,,,<0.0036,<0.010,,<0.022,,,<0.0076,,,,,<0.029,<0.012,<0.0060,,,<0.008,,,,,,<0.040,,<0.0056,<0.006,<0.016,,<0.012,<0.024,<0.018,,,,,,<0.0048,,,,,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,,,<0.014,<0.012,,<0.0040,,<0.008,,,,,,<0.002,<0.020,<0.0160,<0.012,<0.020,,<0.012,,,<0.006,<0.010,<0.020,,,,,<0.0036,,,<0.006,,<0.028,<0.024,,<0.018,<0.016,<0.0046,,<0.018,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,20.3,<0.2,<0.2,<0.2,1.1,<0.1,,<0.1,<0.1,<0.1,<0.2,0.2,<0.1,<0.2,<0.1,<0.2,0.1,<0.6,0.1,<0.2,R0.7,,,1.4,,235,,,,<0.014
425505077531001,LV 541,20101005,0631,WG,9,01102777,,041300030504,112SDGV,,42.91841667,-77.88472222,051,201010050631 EST,201010050631,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,758,LV 541,NGVD29,Genesee,Production,Sand and Gravel,,,,0.1,,,,,,,758,69.00,,,,,,,,,,,,,,,,55.2,,,,,,,,,,,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423219077571701,LV 542,20101118,1000,WG,9,01100262,3260037,041300020909,112SDGV,24570326J,42.53836111,-77.95497222,051,201011181000 EST,201011181000,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1370,LV 542,NGVD29,Genesee,Production,Sand and Gravel,,,5,0.3,2.2,,,7.6,661,14.2,1370,52.00,,,,,,370,268,97,76.6,18.7,1.17,25.1,,,,7.4,,83.0,0.08,,,11.0,37.4,0.12,0.071,0.05,23.01,<0.02,<0.089,<0.020,<0.003,<0.001,0.07,0.015,0.045,,<0.14,,,,,<1,,,,<1,,9,,,,<1,,,<2.8,,306,,<0.02,,<0.050,,<0.21,,0.02,,7.6,227,288,,0.73,,7.76,93.4,95.4,,<0.005,,2.03,,0.29,,<0.015,,151,,<0.06,,,10.2,,<0.18,0.7210,,1.5,15,,<0.050,<0.2,<0.1,<0.1,,,,<0.0060,,<0.006,,,,,,,,<0.010,,,,,<0.008,,,,<0.0040,<0.008,,<0.120,,<0.014,,,,,,<0.0040,,<0.060,,<0.060,,,,,<0.0036,<0.010,,<0.022,,,<0.0076,,,,,<0.029,<0.012,<0.0060,,,<0.008,,,,,,<0.040,,<0.0056,<0.006,<0.016,,<0.012,<0.024,<0.018,,,,,,<0.0048,,,,,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,,,<0.014,<0.012,,<0.0040,,<0.008,,,,,,<0.002,<0.020,<0.0160,<0.012,<0.020,,<0.012,,,<0.006,<0.010,<0.020,,,,,<0.0036,,,<0.006,,<0.028,<0.024,,<0.018,<0.016,<0.0046,,<0.018,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,0.0030,<0.2,<0.2,<0.2,0.7,<0.1,,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,R0.1,,,1.3,,300,,,,0.285
423219077571701,LV 542,20101118,1001,WG,9,01102787,,041300020909,112SDGV,,42.53836111,-77.95497222,051,201011181001 EST,201011181001,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1370,LV 542,NGVD29,Genesee,Production,Sand and Gravel,,,,0.3,,,,,,,1370,52.00,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,22.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423712077423401,LV 618,20101110,1000,WG,9,01100259,3160060,041300020908,341JVWF,24570326J,42.61991667,-77.70952778,051,201011101000 EST,201011101000,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1238,LV 618,NAVD88,Genesee,Domestic,Bedrock,,,2,0.3,0.3,,,7.3,795,11.5,1238,60.00,,,,,,481,402,99,102,35.7,2.22,11.0,,,,38.7,,26.3,0.13,,,16.3,98.1,0.08,0.067,0.05,28.47,<0.02,<0.089,<0.020,<0.003,<0.001,0.03,0.012,0.036,,<0.10,,,,,<1,,,,<1,,7,,,,<1,,,<2.8,,31.2,,<0.02,,<0.050,,<0.21,,0.02,,0.86,535,597,,0.28,,23.8,187,192,,<0.005,,1.36,,0.31,,<0.015,,249,,<0.06,,,72.3,,<0.18,0.8230,,4.5,62,,<0.050,<0.2,<0.1,<0.1,,,,<0.0060,,<0.006,,,,,,,,<0.010,,,,,<0.008,,,,<0.0040,<0.008,,<0.120,,<0.014,,,,,,<0.0040,,<0.060,,<0.060,,,,,<0.0036,<0.010,,<0.022,,,<0.0076,,,,,<0.029,<0.012,<0.0060,,,<0.008,,,,,,<0.040,,<0.0056,<0.006,<0.016,,<0.012,<0.024,<0.018,,,,,,<0.0048,,,,,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,,,<0.014,<0.012,,<0.0040,,<0.008,,,,,,<0.002,<0.020,<0.0160,<0.012,<0.020,,<0.012,,,<0.006,<0.010,<0.020,,,,,<0.0036,,,<0.006,,<0.028,<0.024,,<0.018,<0.016,<0.0046,,<0.018,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,0.0030,<0.2,<0.2,<0.2,0.8,<0.1,,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,R-0.5,,,2.3,,620,,,,0.099
423712077423401,LV 618,20101110,1001,WG,9,01102784,,041300020908,341JVWF,,42.61991667,-77.70952778,051,201011101001 EST,201011101001,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1238,LV 618,NAVD88,Genesee,Domestic,Bedrock,,,,0.3,,,,,,,1238,60.00,,,,,,,,,,,,,,,,37.8,,,,,,,,,,,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423846077391501,LV 620,20051027,0900,WG,9,00600326,3010137,041300020904,341JVWF,24570326B,42.63941667,-77.65388889,051,200510270900 EST,200510270900,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,2027,LV 620,NAVD88,Genesee,Domestic,Bedrock,,,<1,,7.6,,,7.5,298,10.0,2027,360.00,,,,,,178,144,39,41.0,10.2,0.86,4.29,,,,6.5,,8.34,0.11,,,8.81,32.8,<0.10,<0.052,<0.04,,1.58,7.01,1.58,<0.026,<0.008,<0.10,<0.02,<0.055,,<1.7,,,,<1,,,<5,,,2,,,,1,,,,11.8,,24.6,,<0.06,,<0.040,,0.15,,0.103,,2.5,<6.0,22.4,,0.17,,6.01,<0.60,<0.60,,<0.010,,0.33,,0.57,,<0.160,,55.4,,<0.18,,,3,,<0.20,,,E0.06,12,,0.080,<0.2,<0.1,<0.1,,,,<0.0060,<0.02,E0.011,,,,,<0.02,<0.02,<0.02,<0.02,,<0.02,<0.02,<0.02,<0.02,,,,<0.0050,0.008,,<0.050,,<0.010,,,,,,<0.0040,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.021,,<0.0040,<0.009,<0.005,,<0.013,<0.024,<0.016,<0.02,<0.02,<0.02,,,<0.0030,<0.02,<0.02,<0.02,<0.02,,,,<0.0040,,<0.035,<0.027,,,,,,<0.015,<0.02,<0.02,<0.02,<0.006,,<0.0030,,<0.007,,,,,,<0.003,<0.010,<0.0040,<0.022,<0.011,,<0.010,<0.02,<0.05,<0.02,<0.011,<0.023,,,,,<0.0040,<0.02,,<0.005,,<0.016,<0.034,,<0.017,<0.010,<0.0060,,<0.009,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,35,1550,,,,0.375
423846077391501,LV 620,20051027,0910,WG,9,00600327,3050005,041300020904,341JVWF,24570326B,42.63941667,-77.65388889,051,200510270910 EST,200510270910,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,2027,LV 620,NAVD88,Genesee,Domestic,Bedrock,,,,,,,,,,,2027,360.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.016,<0.04,<0.02,,,E0.02,<0.08,,<0.008,<0.02,,,,,<0.028,,,,,<0.02,<0.022,<0.04,,E0.006,,,<0.02,,<0.022,<0.02,<0.01,<0.02,<0.03,,<0.02,,<0.016,,<0.02,<0.032,<0.04,<0.04,,,<0.02,,<0.01,<0.03,,,,,,,,,<0.04,<0.03,,,,,<0.04,<0.01,,<0.02,,,,<0.02,,,,,,,<0.04,<0.02,,,,,,<0.04,<0.04,<0.020,,<0.01,,,<0.03,<0.01,<0.01,<0.010,<0.020,,,,,,<0.03,,<0.04,,<0.01,<0.04,<0.02,<0.01,<0.03,,,,,,<0.03,,,,,,,,<0.030,<0.010,<0.008,,,<0.02,,<0.038,<0.026,,<0.016,,,,<0.03,,,,,,,,,,,<0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425044077395101,LV 637,20051103,0800,WG,9,00600340,3080080,041300030103,112SDGV,24570326B,42.84586111,-77.66391667,051,200511030800 EST,200511030800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1036,LV 637,NAVD88,Genesee,Production,Sand and Gravel,732,,2,,5.7,,,7.2,1010,10.7,1036,119.00,,,,,,556,457,274,113,42.6,1.60,32.4,,,,23,,109,0.11,,,15.2,50.6,E0.08,<0.052,<0.04,,6.04,26.7,6.04,<0.026,<0.008,<0.08,<0.02,<0.055,,E6.1,,,,<1,,,<5,,,2,,,,10,,,,2.7,,180,,<0.06,,<0.040,,0.34,,0.312,,5.5,7.5,40.4,,3.01,,7.60,E0.45,0.83,,<0.010,,0.34,,1.86,,<0.160,,238,,<0.18,,,E2,,<0.20,,,E0.09,25,,0.290,<0.2,<0.1,<0.1,,,,<0.0060,<0.02,<0.006,,,,,<0.02,<0.02,<0.02,<0.02,,<0.02,<0.02,<0.02,<0.02,,,,<0.0050,<0.007,,<0.050,,<0.010,,,,,,<0.0040,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.021,,<0.0040,<0.009,<0.005,,<0.013,<0.024,<0.016,<0.02,<0.02,<0.02,,,<0.0030,<0.02,<0.02,<0.02,<0.02,,,,<0.0040,,<0.035,<0.027,,,,,,<0.015,0.03,0.41,<0.02,<0.006,,<0.0030,,<0.007,,,,,,<0.003,<0.010,<0.0040,<0.022,<0.011,,<0.010,<0.02,<0.05,<0.02,<0.011,<0.023,,,,,<0.0040,<0.02,,<0.005,,<0.016,<0.034,,<0.017,<0.010,<0.0060,,<0.009,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,22,410,,,,0.929
